OID_,Join_Count,TARGET_FID,JOIN_FID
1,1,0,0
2,1,0,1
3,1,0,133
4,1,0,30872
5,1,0,31020
6,1,1,0
7,1,1,1
8,1,1,134
9,1,1,30873
10,1,1,31007
11,1,2,2
12,1,2,3
13,1,2,16
14,1,2,151
15,1,2,30890
16,1,3,2
17,1,3,3
18,1,3,4
19,1,3,152
20,1,3,30891
21,1,4,3
22,1,4,4
23,1,4,5
24,1,4,153
25,1,4,30892
26,1,5,4
27,1,5,5
28,1,5,6
29,1,5,154
30,1,5,30877
31,1,6,5
32,1,6,6
33,1,6,7
34,1,6,155
35,1,6,30878
36,1,7,6
37,1,7,7
38,1,7,8
39,1,7,140
40,1,7,30879
41,1,8,7
42,1,8,8
43,1,8,9
44,1,8,141
45,1,8,30880
46,1,9,8
47,1,9,9
48,1,9,142
49,1,9,30881
50,1,9,31015
51,1,10,10
52,1,10,11
53,1,10,156
54,1,10,30893
55,1,11,10
56,1,11,11
57,1,11,12
58,1,11,157
59,1,11,30894
60,1,12,11
61,1,12,12
62,1,12,13
63,1,12,158
64,1,12,30885
65,1,13,12
66,1,13,13
67,1,13,14
68,1,13,159
69,1,13,30886
70,1,14,13
71,1,14,14
72,1,14,15
73,1,14,148
74,1,14,30887
75,1,15,14
76,1,15,15
77,1,15,16
78,1,15,149
79,1,15,30888
80,1,16,2
81,1,16,15
82,1,16,16
83,1,16,150
84,1,16,30889
85,1,17,17
86,1,17,18
87,1,17,27
88,1,17,163
89,1,17,30900
90,1,18,17
91,1,18,18
92,1,18,19
93,1,18,164
94,1,18,30901
95,1,19,18
96,1,19,19
97,1,19,165
98,1,19,30902
99,1,20,20
100,1,20,21
101,1,20,35
102,1,20,169
103,1,20,30908
104,1,21,20
105,1,21,21
106,1,21,22
107,1,21,170
108,1,21,30909
109,1,22,21
110,1,22,22
111,1,22,23
112,1,22,171
113,1,22,30910
114,1,23,22
115,1,23,23
116,1,23,24
117,1,23,172
118,1,23,30895
119,1,24,23
120,1,24,24
121,1,24,25
122,1,24,173
123,1,24,30896
124,1,25,24
125,1,25,25
126,1,25,26
127,1,25,160
128,1,25,30897
129,1,26,25
130,1,26,26
131,1,26,27
132,1,26,161
133,1,26,30898
134,1,27,17
135,1,27,26
136,1,27,27
137,1,27,162
138,1,27,30899
139,1,28,28
140,1,28,29
141,1,28,43
142,1,28,177
143,1,28,30916
144,1,29,28
145,1,29,29
146,1,29,30
147,1,29,178
148,1,29,30917
149,1,30,29
150,1,30,30
151,1,30,31
152,1,30,179
153,1,30,30918
154,1,31,30
155,1,31,31
156,1,31,32
157,1,31,180
158,1,31,30903
159,1,32,31
160,1,32,32
161,1,32,33
162,1,32,181
163,1,32,30904
164,1,33,32
165,1,33,33
166,1,33,34
167,1,33,166
168,1,33,30905
169,1,34,33
170,1,34,34
171,1,34,35
172,1,34,167
173,1,34,30906
174,1,35,20
175,1,35,34
176,1,35,35
177,1,35,168
178,1,35,30907
179,1,36,36
180,1,36,37
181,1,36,51
182,1,36,185
183,1,36,30924
184,1,37,36
185,1,37,37
186,1,37,38
187,1,37,186
188,1,37,30925
189,1,38,37
190,1,38,38
191,1,38,39
192,1,38,187
193,1,38,30926
194,1,39,38
195,1,39,39
196,1,39,40
197,1,39,188
198,1,39,30911
199,1,40,39
200,1,40,40
201,1,40,41
202,1,40,189
203,1,40,30912
204,1,41,40
205,1,41,41
206,1,41,42
207,1,41,174
208,1,41,30913
209,1,42,41
210,1,42,42
211,1,42,43
212,1,42,175
213,1,42,30914
214,1,43,28
215,1,43,42
216,1,43,43
217,1,43,176
218,1,43,30915
219,1,44,44
220,1,44,45
221,1,44,59
222,1,44,193
223,1,44,30932
224,1,45,44
225,1,45,45
226,1,45,46
227,1,45,194
228,1,45,30933
229,1,46,45
230,1,46,46
231,1,46,47
232,1,46,195
233,1,46,30934
234,1,47,46
235,1,47,47
236,1,47,48
237,1,47,196
238,1,47,30919
239,1,48,47
240,1,48,48
241,1,48,49
242,1,48,197
243,1,48,30920
244,1,49,48
245,1,49,49
246,1,49,50
247,1,49,182
248,1,49,30921
249,1,50,49
250,1,50,50
251,1,50,51
252,1,50,183
253,1,50,30922
254,1,51,36
255,1,51,50
256,1,51,51
257,1,51,184
258,1,51,30923
259,1,52,52
260,1,52,53
261,1,52,67
262,1,52,201
263,1,52,30940
264,1,53,52
265,1,53,53
266,1,53,54
267,1,53,202
268,1,53,30941
269,1,54,53
270,1,54,54
271,1,54,55
272,1,54,203
273,1,54,30942
274,1,55,54
275,1,55,55
276,1,55,56
277,1,55,204
278,1,55,30927
279,1,56,55
280,1,56,56
281,1,56,57
282,1,56,205
283,1,56,30928
284,1,57,56
285,1,57,57
286,1,57,58
287,1,57,190
288,1,57,30929
289,1,58,57
290,1,58,58
291,1,58,59
292,1,58,191
293,1,58,30930
294,1,59,44
295,1,59,58
296,1,59,59
297,1,59,192
298,1,59,30931
299,1,60,60
300,1,60,61
301,1,60,75
302,1,60,209
303,1,60,30948
304,1,61,60
305,1,61,61
306,1,61,62
307,1,61,210
308,1,61,30949
309,1,62,61
310,1,62,62
311,1,62,63
312,1,62,211
313,1,62,30950
314,1,63,62
315,1,63,63
316,1,63,64
317,1,63,212
318,1,63,30935
319,1,64,63
320,1,64,64
321,1,64,65
322,1,64,213
323,1,64,30936
324,1,65,64
325,1,65,65
326,1,65,66
327,1,65,198
328,1,65,30937
329,1,66,65
330,1,66,66
331,1,66,67
332,1,66,199
333,1,66,30938
334,1,67,52
335,1,67,66
336,1,67,67
337,1,67,200
338,1,67,30939
339,1,68,68
340,1,68,69
341,1,68,83
342,1,68,217
343,1,68,30956
344,1,69,68
345,1,69,69
346,1,69,70
347,1,69,218
348,1,69,30957
349,1,70,69
350,1,70,70
351,1,70,71
352,1,70,219
353,1,70,30958
354,1,71,70
355,1,71,71
356,1,71,72
357,1,71,220
358,1,71,30943
359,1,72,71
360,1,72,72
361,1,72,73
362,1,72,221
363,1,72,30944
364,1,73,72
365,1,73,73
366,1,73,74
367,1,73,206
368,1,73,30945
